subject_id,modality,classification_macro_f1,classification_severe_error_rate,regression_bounded_mae,regression_residual_mean,oof_runs
sub-cp028,body_movement,0.1,0.3333333333333333,1.2072418321666667,0.3864645855,12
sub-cp029,body_movement,0.1,0.25,0.8648099133333331,-0.34544208333333337,12
sub-cp030,body_movement,0.25,0.2727272727272727,0.9075645145454545,0.16672545272727268,11
sub-cp031,body_movement,0.24285714285714285,0.16666666666666666,1.1024348366666665,-0.4231619566666666,12
sub-cp032,body_movement,0.16233766233766234,0.3333333333333333,0.9034760033333334,0.43994295000000005,12
sub-cp033,body_movement,0.21969696969696967,0.4166666666666667,1.1610116651666667,0.3901782151666666,12
sub-cp035,body_movement,0.29642857142857143,0.08333333333333333,0.9300936483333335,-0.12596045500000008,12
sub-cp036,body_movement,0.10714285714285714,0.3333333333333333,0.9700074803333334,0.5289419276666667,12
sub-cp037,body_movement,0.045454545454545456,0.4166666666666667,1.2404179316666666,-0.9185192916666667,12
sub-cp038,body_movement,0.07692307692307693,0.5,0.9702147066666665,-0.10673215666666673,12
sub-cp039,body_movement,0.08333333333333333,0.3333333333333333,1.142154495,0.43400989500000003,12
sub-cp042,body_movement,0.1,0.25,0.9160128000000002,-0.27421255666666666,12
sub-cp043,body_movement,0.08333333333333333,0.25,1.0206646,0.4573332433333333,12
