subject_id,modality,macro_f1,balanced_accuracy,severe_error_rate,oof_runs
sub-cp043,flight_parameter_features,1.0,1.0,0.0,12
sub-cp003,body_movement,0.1,0.25,0.5,12
sub-cp004,body_movement,0.36136363636363633,0.41666666666666663,0.4166666666666667,12
sub-cp005,body_movement,0.19444444444444442,0.25,0.5,12
sub-cp006,body_movement,0.18333333333333335,0.25,0.4166666666666667,12
sub-cp008,body_movement,0.1625,0.25,0.4166666666666667,12
sub-cp009,body_movement,0.1,0.25,0.5,12
sub-cp011,body_movement,0.3125,0.3333333333333333,0.3333333333333333,12
sub-cp012,body_movement,0.1,0.25,0.25,12
sub-cp013,body_movement,0.11688311688311688,0.16666666666666666,0.6666666666666666,12
sub-cp014,body_movement,0.23214285714285715,0.3333333333333333,0.25,12
sub-cp015,body_movement,0.1,0.25,0.25,12
sub-cp016,body_movement,0.1,0.25,0.25,12
sub-cp017,body_movement,0.2111111111111111,0.25,0.3333333333333333,12
sub-cp018,body_movement,0.1,0.25,0.25,12
sub-cp019,body_movement,0.1,0.25,0.25,12
sub-cp020,body_movement,0.1,0.25,0.25,12
sub-cp022,body_movement,0.08333333333333333,0.16666666666666666,0.25,12
sub-cp023,body_movement,0.11538461538461539,0.25,0.4166666666666667,12
sub-cp024,body_movement,0.045454545454545456,0.08333333333333333,0.4166666666666667,12
sub-cp025,body_movement,0.2,0.25,0.16666666666666666,12
sub-cp026,body_movement,0.20833333333333331,0.25,0.25,12
sub-cp027,body_movement,0.16666666666666666,0.25,0.3333333333333333,12
sub-cp028,body_movement,0.1,0.16666666666666666,0.3333333333333333,12
sub-cp029,body_movement,0.1,0.25,0.25,12
sub-cp030,body_movement,0.25,0.375,0.2727272727272727,11
sub-cp031,body_movement,0.24285714285714285,0.3333333333333333,0.16666666666666666,12
sub-cp032,body_movement,0.16233766233766234,0.25,0.3333333333333333,12
sub-cp033,body_movement,0.21969696969696967,0.3333333333333333,0.4166666666666667,12
sub-cp035,body_movement,0.29642857142857143,0.3333333333333333,0.08333333333333333,12
sub-cp036,body_movement,0.10714285714285714,0.25,0.3333333333333333,12
sub-cp037,body_movement,0.045454545454545456,0.08333333333333333,0.4166666666666667,12
sub-cp038,body_movement,0.07692307692307693,0.16666666666666666,0.5,12
sub-cp039,body_movement,0.08333333333333333,0.08333333333333333,0.3333333333333333,12
sub-cp042,body_movement,0.1,0.25,0.25,12
sub-cp043,body_movement,0.08333333333333333,0.16666666666666666,0.25,12
sub-cp003,multimodal_reference,1.0,1.0,0.0,12
sub-cp004,multimodal_reference,1.0,1.0,0.0,12
sub-cp005,multimodal_reference,0.7476190476190476,0.75,0.0,12
sub-cp006,multimodal_reference,1.0,1.0,0.0,12
sub-cp008,multimodal_reference,0.9142857142857143,0.9166666666666666,0.0,12
sub-cp009,multimodal_reference,0.8125,0.8333333333333333,0.0,12
sub-cp011,multimodal_reference,0.9142857142857143,0.9166666666666666,0.0,12
