candidate_index,feature_selection__k,regressor__C,regressor__gamma,regressor__epsilon,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
72,200,10.0,scale,0.0,0.4723820378064332,0.45391434077586873,0.34844985705371423,0.42491541187867204,0.05459242782913916,23
73,200,10.0,0.01,0.0,0.5889675735193686,0.5567182216579281,0.4874466761411383,0.5443774904394784,0.04235440462238299,31
74,200,10.0,0.1,0.0,1.0033287584944883,0.997199957347725,0.9878834983898774,0.9961374047440302,0.0063501064795001725,82
75,200,10.0,scale,0.1,0.48837014481885754,0.4735540103758478,0.368717519733583,0.4435472249760961,0.05325719388007208,26
76,200,10.0,0.01,0.1,0.6040010200689188,0.5721047022282315,0.5033318292750671,0.5598125171907391,0.04200710141169933,36
77,200,10.0,0.1,0.1,1.0034440980767836,0.9974850265653025,0.9881526190316596,0.9963605812245819,0.006293150553846482,83
78,200,10.0,scale,0.2,0.509725688988005,0.5049627840938439,0.38944421620879627,0.46804422976354837,0.05561260596821022,27
79,200,10.0,0.01,0.2,0.6239259049116469,0.5930161231105918,0.5200806943133723,0.5790075741118703,0.04353647149105513,41
80,200,10.0,0.1,0.2,1.003559467816647,0.9977700471043789,0.9884213814087855,0.9965836321099372,0.006236778037162431,84
81,all,0.1,scale,0.0,0.9330793802849257,0.905552833613807,0.9030545145217923,0.9138955761401749,0.013603287731757983,77
82,all,0.1,0.01,0.0,1.0041705268678922,0.9999663453190953,0.9906664394658156,0.9982677705509344,0.005642337655204394,98
83,all,0.1,0.1,0.0,1.0042016806782827,1.0000000000000002,0.9907407407407407,0.9983141404730077,0.0056232148431949345,100
84,all,0.1,scale,0.1,0.9330793802849259,0.9055528336138073,0.9029542590871544,0.9138621576619625,0.01362997631198828,76
85,all,0.1,0.01,0.1,1.0041705268678922,0.9999663453190956,0.9906664394658153,0.9982677705509344,0.0056423376552045155,98
86,all,0.1,0.1,0.1,1.0042016806782827,0.9999999999999998,0.990740740740741,0.9983141404730079,0.00562321484319474,102
87,all,0.1,scale,0.2,0.9338463351674026,0.9068841175771477,0.9044333968782333,0.9150546165409278,0.013325364902782688,78
88,all,0.1,0.01,0.2,1.0041705268678922,0.9999663453190953,0.9906664346021202,0.9982677689297025,0.005642339839320359,97
89,all,0.1,0.1,0.2,1.0042016806782827,1.0,0.9907407407407406,0.9983141404730077,0.005623214843194962,100
90,all,1.0,scale,0.0,0.6862257587836879,0.6641609131882864,0.6160531988810883,0.6554799569510209,0.029298080616495102,58
91,all,1.0,0.01,0.0,1.003647805568837,0.9997063285984543,0.990117263070929,0.9978237990794069,0.005681949965430739,91
92,all,1.0,0.1,0.0,1.004240094718363,1.0,0.9907407407407406,0.9983269451530346,0.005636634565885523,103
93,all,1.0,scale,0.1,0.6963013163097898,0.6758530191808363,0.6177210064814829,0.6632917806573696,0.03328718279969777,59
94,all,1.0,0.01,0.1,1.0036752029472709,0.9997159600339998,0.9901415519915633,0.9978442383242779,0.00568139851719123,92
95,all,1.0,0.1,0.1,1.0042479377111588,1.0000000000000002,0.9907407407407406,0.9983295594839664,0.005639377692477784,107
96,all,1.0,scale,0.2,0.7090946776092009,0.6885520387554581,0.6243752764139607,0.6740073309262066,0.03608328910635071,60
97,all,1.0,0.01,0.2,1.0037027518808113,0.9997256017153512,0.9901658239951003,0.9978647258637543,0.0056809182559997545,93
98,all,1.0,0.1,0.2,1.0042556472173088,0.9999999999999998,0.990740740740741,0.9983321293193499,0.005642075192877278,108
99,all,10.0,scale,0.0,0.6421695538489698,0.6132357331260677,0.5519419392733131,0.6024490754161169,0.03761665939817129,47
100,all,10.0,0.01,0.0,1.0033848252754576,0.9995991813420791,0.9898974388676413,0.9976271484950594,0.005680028356192773,88
101,all,10.0,0.1,0.0,1.0042405851188314,0.9999999999999998,0.9907407407407405,0.9983271086198572,0.005636806053992207,104
102,all,10.0,scale,0.1,0.65588433913268,0.6362829118912854,0.5668445480785016,0.6196705997008223,0.0382012022932786,50
103,all,10.0,0.01,0.1,1.0034553818354643,0.9996317420233704,0.9899686387006111,0.9976852541864819,0.005675366142123544,89
104,all,10.0,0.1,0.1,1.0042405851192355,1.0,0.9907407407407406,0.998327108619992,0.0056368060541334974,105
105,all,10.0,scale,0.2,0.6788616088286924,0.6613149786084491,0.5801037507830047,0.6400934460733821,0.043019714192415966,55
106,all,10.0,0.01,0.2,1.0035259813336364,0.9996641386332996,0.9900397298522138,0.9977432832730498,0.005670802926176218,90
107,all,10.0,0.1,0.2,1.0042405851195069,1.0,0.9907407407407407,0.9983271086200824,0.005636806054228332,106
