variant,outer_fold,dimension,seed,selected_temperature,macro_f1,balanced_accuracy,mae_bounded,rmse_bounded,model_bytes,checkpoint_sha256,status
onlinehd,3,2000,46,0.05,0.4354778554778555,0.5238095238095237,0.5329795354539728,0.6716693319905063,32000,baa8ab0abf78bacc2de4b10867cd3d83573b9280fbd4512f6b58b771d0ae71bf,COMPLETE
onlinehd,3,5000,42,0.05,0.6275033974679922,0.7142857142857143,0.26710984421087086,0.3989576030289495,80000,eb99956e5abe038df5e5281c6d89140f96856a08621cc06b33d484612e37ee60,COMPLETE
onlinehd,3,5000,43,0.05,0.7174800786524662,0.7261904761904762,0.35466383388113026,0.47465324748478516,80000,7f668c22b75f5de5ecf15ae5ac9eda869b63e2a331370155402918ee8d209409,COMPLETE
onlinehd,3,5000,44,0.05,0.6380612391156341,0.7142857142857143,0.2716158315542688,0.3996979018656352,80000,e30f869f7cfd01c1f6fcdd48572fd653c65b55e86a45afb6968d22b55dce0226,COMPLETE
onlinehd,3,5000,45,0.05,0.8555169798109464,0.8571428571428571,0.307279470587775,0.4279964838407148,80000,a3422f27e6ef092d23cb43f5342311117f96053c4b5736890ca895752584e61a,COMPLETE
onlinehd,3,5000,46,0.05,0.7360047095761382,0.7857142857142857,0.26190891022575474,0.39462106811323416,80000,7abc318dfdcae65ee1d206f4226e1321e667ed8dce02db546c3d145deba36784,COMPLETE
onlinehd,3,10000,42,0.05,0.375,0.5,0.5202199899124326,0.6693944286669288,160000,6012db7a81964ecb93a60854f055bb83210e0fe5a98ff884d53822ee8d54fdc8,COMPLETE
onlinehd,3,10000,43,0.05,0.38375668449197864,0.48809523809523814,0.5599847028253281,0.6828309891052449,160000,fd347305b91f2bd382534937642c1f54cd65392b8acb939cbe71acb659593b4d,COMPLETE
onlinehd,3,10000,44,0.05,0.4097229866079618,0.5238095238095238,0.40805950048692796,0.5523150624209461,160000,ab125aaf199e4c4755739312c92b12f20a479e5253e84492b425077050a078a5,COMPLETE
onlinehd,3,10000,45,0.05,0.8066683964711988,0.8214285714285714,0.37568386161531586,0.5055584491656334,160000,3493a56fc0c4936efeb7b36dfb962eee9ad7085a8ceb69ad4f0e134821ad7dab,COMPLETE
onlinehd,3,10000,46,0.05,0.6417129860074111,0.6904761904761905,0.4814809658932446,0.632374762913462,160000,643d1f25d6d724832add2121636e6672b297d6ba3805d7d1fd919d58eeeaa8f6,COMPLETE
onlinehd,4,1000,42,0.05,0.4974331550802139,0.5714285714285714,0.39256321325470156,0.58305301572216,16000,2ccb1add278af1ae2aa32bca95998a59b6f26f7856ac3b436fb7e8e84488c7ce,COMPLETE
onlinehd,4,1000,43,0.05,0.5890637945318973,0.6547619047619048,0.46029258486543817,0.5952573640563491,16000,6a7cc883e587d1519a77d6ad65d63f1781d9612437813459581ab6678b6d9580,COMPLETE
onlinehd,4,1000,44,0.05,0.6242365515621329,0.6428571428571428,0.3823738574262035,0.4946433058470066,16000,b46cef54eb3921791e7bf7c87c1b2d06ae834ab2a38c55691526c8b488e97e07,COMPLETE
onlinehd,4,1000,45,0.05,0.7773326715825297,0.7976190476190477,0.37093789696598845,0.47023200355320094,16000,f6c58aa3eee7afcc5e9e8e1324216957f0be7b6e498b45ac18b136195d950567,COMPLETE
onlinehd,4,1000,46,0.05,0.8181233062330624,0.8214285714285714,0.38727693159323867,0.4819998000167521,16000,580d22142a84c642e4af02eafa42272e3562eda5cf5e42bc2e9cbf6927bdfd2b,COMPLETE
onlinehd,4,2000,42,0.05,0.9411246612466124,0.9404761904761905,0.2765824805703411,0.35733375373669546,32000,60a5695446e515127f1e323126a855bbfc77266127bef53a0c14067aec0eda14,COMPLETE
onlinehd,4,2000,43,0.05,0.793492742370048,0.8095238095238095,0.3420258526066341,0.45028878065862354,32000,2cce3a3fca9dfb4423041145b531c3008e526953df4846cb004473c62bd987fe,COMPLETE
onlinehd,4,2000,44,0.05,0.6309523809523809,0.7142857142857143,0.38135597596673904,0.5041007661578945,32000,5bfbb311cb11ea9706b235ffb63b375ee2e5c0a5a048388063649a661303162a,COMPLETE
onlinehd,4,2000,45,0.05,0.8526515151515153,0.8571428571428571,0.32149213739530635,0.4506902655552068,32000,34ec20725991392ad41cda575645b349b09d9d0f4303552ff97b5c8e64392c44,COMPLETE
onlinehd,4,2000,46,0.05,0.48444444444444446,0.5714285714285714,0.3883211891718513,0.5347207099918941,32000,6d16e87c2e824b25756ff3f5c5cd7fbcb16e1cc045bcd961367e1cb65eaeb635,COMPLETE
onlinehd,4,5000,42,0.05,0.39923329682365827,0.5119047619047619,0.4513978011913409,0.5755802583772268,80000,da72b400466a6e16e222bf06d28d0b95b904d111ebe1b2548634632319e40d91,COMPLETE
onlinehd,4,5000,43,0.05,0.9047077922077922,0.9047619047619048,0.3685312631175575,0.4326415971973672,80000,ee562da46a8620a21eb795236d13fb3ba31d9cf9088bd112c2917fbcad2907c7,COMPLETE
onlinehd,4,5000,44,0.05,0.37539428531814345,0.5,0.45247820879115674,0.6524590876911515,80000,96a2a344e6cd11bad11b8e705ffa1c5ea41d96912ceaab9c5403382c502f684b,COMPLETE
onlinehd,4,5000,45,0.05,0.5425109798576404,0.6190476190476191,0.40666826276271956,0.5356046478812211,80000,0a40005d481df54f42f01d603b27460a9fa7ad40a2d55f898fb9fec291c4c82f,COMPLETE
onlinehd,4,5000,46,0.05,0.6383153500634704,0.7142857142857143,0.4065276623921723,0.5619130502881634,80000,0724ff26225e9fb9a995c8c674f9534fbbf994e1443dbe7ca7ee0177ac075afc,COMPLETE
onlinehd,4,10000,42,0.05,0.6405300050067949,0.7261904761904762,0.4214778077709313,0.5232191204060227,160000,69f237241b3d36dc97c0c18ddd04212ca149a48945d48c9bea29412b810a1ca6,COMPLETE
onlinehd,4,10000,43,0.05,0.627039627039627,0.7023809523809523,0.33250741879283535,0.47807736619687957,160000,3dc7a6ebf9c09e0e37100f6411984f2f446faf87c6c34ccbce6b2c232138bd88,COMPLETE
onlinehd,4,10000,44,0.05,0.4238028169014084,0.5238095238095238,0.6107257767921545,0.8784867228571929,160000,e6ca7da7da8a78a615bc7de2d560bf0c57079c2542db4e0653e725ccd43f88fb,COMPLETE
onlinehd,4,10000,45,0.05,0.7778933941997852,0.7857142857142857,0.36642613346400843,0.5262453526397783,160000,86294edf9d24b137493b692c7087068751a2790f213d43f77c0f68300ac48da4,COMPLETE
onlinehd,4,10000,46,0.05,0.6991201608848667,0.7142857142857143,0.4457345285437253,0.6223549546392413,160000,33f9654901effbd390d4310365ef3727b3f5cfaa97d060ee596703ccb3c032ca,COMPLETE
onlinehd,5,1000,42,0.05,0.5276059359914178,0.5958333333333333,0.3549490337713377,0.49293122222765107,16000,a22c8a9e65767743d0c711c94cff44517d87b18505ee78ee9c7fa7a16994bf9d,COMPLETE
onlinehd,5,1000,43,0.05,0.5765311004784689,0.6178571428571429,0.5645521858270417,0.7749988750573411,16000,1742805252d97287427623f9a9aec472df269744d6d653d54cbde0a352170863,COMPLETE
onlinehd,5,1000,44,0.05,0.522297934623516,0.5869047619047619,0.47868685680668416,0.5979432058615283,16000,bc4e90d7b57af8e84c171bb71e72cd32d4637496349f77f24194f12d749bbb20,COMPLETE
onlinehd,5,1000,45,0.05,0.826519770879527,0.8285714285714285,0.34713265196963156,0.4504544536779928,16000,5a8fbbc1a9d53af449ac39a3ee3421bb64e75f6cf877623c151238a7b760e0a7,COMPLETE
onlinehd,5,1000,46,0.05,0.6915060137784037,0.7494047619047619,0.3169884083000693,0.4414388546973149,16000,88c15063faac91948aa1faf273cbc2e95a686e13deee584576b894c19dc60862,COMPLETE
onlinehd,5,2000,42,0.05,0.7465277777777778,0.7708333333333333,0.24506927677907786,0.3234448982609804,32000,a67fe771b94878ddfd02e5e4b2c4997c30a454f7275b0af35c8ff25835c7d572,COMPLETE
onlinehd,5,2000,43,0.05,0.6306778769403354,0.7124999999999999,0.35563811454299005,0.4666787037023417,32000,57251835fad3555fd9b522976b338648897a85ddc09d7402c9b35dd4bf540bd0,COMPLETE
onlinehd,5,2000,44,0.05,0.7362903225806452,0.7440476190476191,0.3321987316392242,0.4411385334304305,32000,0cf1a4df791ea85b0c9d49e2cf7e21d8333b942356de2208b28748572ebf7d38,COMPLETE
onlinehd,5,2000,45,0.05,0.6383646245059289,0.6869047619047619,0.4531117233478233,0.6317222701713584,32000,f6ece59437818ac2e2e7b5588668559c5cdecf67d0ec3a577d37c4631c5244b7,COMPLETE
onlinehd,5,2000,46,0.05,0.5875631729290266,0.6422619047619047,0.46912633345738486,0.6154670300828299,32000,4f2251c7dda8651f1d144170478ce84ca2f79c7ba8d1505ca50e44a4744a042f,COMPLETE
onlinehd,5,5000,42,0.05,0.6897207367795604,0.7214285714285714,0.2428553174906589,0.3289325651301948,80000,3a50a0151fbcd905f2c54c0ad67e5524250b2ff388c2661105f1023794098b8b,COMPLETE
onlinehd,5,5000,43,0.05,0.7497344894804061,0.7714285714285714,0.3149191047994606,0.3837045302060097,80000,b263cff0d389401d74715942abed91df80d3d0bfc0f15cb6e5d0f320e2806848,COMPLETE
onlinehd,5,5000,44,0.05,0.643248581284077,0.7244047619047619,0.2633725349990986,0.35739399182562,80000,54d7448b8b4da0bf2a15ec51dd2d1c8dfe896b3026c8dee30e629f29a8696b0c,COMPLETE
