outer_fold,inner_fold,dimension,levels,k,effective_k,seed,train_rows,validation_rows,train_subjects,validation_subjects,subject_overlap_count,preprocessing_seconds,encoding_seconds,prototype_training_seconds,inference_seconds,model_bytes,codebook_hashes,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3
2,3,2000,21,50,50,42,227,108,19,9,0,0.03855689999181777,0.2827244999934919,0.0007188000017777085,0.0006931999960215762,222784,"{""identity_codebook_sha256"": ""a2b72cc90a615bb72fe4356a58624874c5f8af8a9c2451aec3d8c7bd6964e387"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.763562091503268,0.7685185185185186,0.7685185185185185,0.027777777777777776,0.7777777777777778,0.8518518518518519,0.4444444444444444,1.0
2,3,5000,21,50,50,42,227,108,19,9,0,0.03855689999181777,0.2827244999934919,0.0013947999977972358,0.0022194999910425395,486784,"{""identity_codebook_sha256"": ""a2b72cc90a615bb72fe4356a58624874c5f8af8a9c2451aec3d8c7bd6964e387"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.784970238095238,0.787037037037037,0.7870370370370371,0.027777777777777776,0.8148148148148148,0.8148148148148148,0.5185185185185185,1.0
2,3,2000,21,100,100,42,227,108,19,9,0,0.03855689999181777,0.5735177999886218,0.0005896000075154006,0.00040830000943969935,323584,"{""identity_codebook_sha256"": ""a2b72cc90a615bb72fe4356a58624874c5f8af8a9c2451aec3d8c7bd6964e387"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7426013193213776,0.75,0.75,0.037037037037037035,0.8148148148148148,0.8518518518518519,0.4074074074074074,0.9259259259259259
2,3,5000,21,100,100,42,227,108,19,9,0,0.03855689999181777,0.5735177999886218,0.0016183999978238717,0.0025412999966647476,737584,"{""identity_codebook_sha256"": ""a2b72cc90a615bb72fe4356a58624874c5f8af8a9c2451aec3d8c7bd6964e387"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.706726449650978,0.712962962962963,0.7129629629629629,0.027777777777777776,0.7037037037037037,0.8518518518518519,0.4074074074074074,0.8888888888888888
2,3,2000,21,200,200,42,227,108,19,9,0,0.03855689999181777,1.1153695999964839,0.0007027999963611364,0.0004995999915990978,525184,"{""identity_codebook_sha256"": ""a2b72cc90a615bb72fe4356a58624874c5f8af8a9c2451aec3d8c7bd6964e387"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6717098789201215,0.6759259259259259,0.6759259259259259,0.018518518518518517,0.6296296296296297,0.8148148148148148,0.37037037037037035,0.8888888888888888
2,3,5000,21,200,200,42,227,108,19,9,0,0.03855689999181777,1.1153695999964839,0.0016049999976530671,0.0021183000062592328,1239184,"{""identity_codebook_sha256"": ""a2b72cc90a615bb72fe4356a58624874c5f8af8a9c2451aec3d8c7bd6964e387"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6744775435813172,0.6944444444444444,0.6944444444444444,0.027777777777777776,0.7407407407407407,0.8518518518518519,0.25925925925925924,0.9259259259259259
2,3,2000,21,all,1082,42,227,108,19,9,0,0.03855689999181777,5.894678999989992,0.0007599000091431662,0.0004940000071655959,2303296,"{""identity_codebook_sha256"": ""a2b72cc90a615bb72fe4356a58624874c5f8af8a9c2451aec3d8c7bd6964e387"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.5833333333333334,0.6018518518518519,0.6018518518518519,0.12962962962962962,0.8518518518518519,0.5925925925925926,0.2222222222222222,0.7407407407407407
2,3,5000,21,all,1082,42,227,108,19,9,0,0.03855689999181777,5.894678999989992,0.0016054000006988645,0.0020361000060802326,5663296,"{""identity_codebook_sha256"": ""a2b72cc90a615bb72fe4356a58624874c5f8af8a9c2451aec3d8c7bd6964e387"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.5720223203568224,0.5740740740740741,0.5740740740740741,0.1574074074074074,0.7037037037037037,0.6296296296296297,0.2962962962962963,0.6666666666666666
2,3,2000,51,50,50,42,227,108,19,9,0,0.03855689999181777,0.28207560000009835,0.0007849999965401366,0.0005799999926239252,282784,"{""identity_codebook_sha256"": ""a2b72cc90a615bb72fe4356a58624874c5f8af8a9c2451aec3d8c7bd6964e387"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7787715517241379,0.787037037037037,0.7870370370370371,0.027777777777777776,0.8888888888888888,0.8148148148148148,0.4444444444444444,1.0
2,3,5000,51,50,50,42,227,108,19,9,0,0.03855689999181777,0.28207560000009835,0.0016717999969841912,0.001995699989493005,636784,"{""identity_codebook_sha256"": ""a2b72cc90a615bb72fe4356a58624874c5f8af8a9c2451aec3d8c7bd6964e387"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7716417910447761,0.7777777777777777,0.7777777777777778,0.027777777777777776,0.8148148148148148,0.8518518518518519,0.4444444444444444,1.0
2,3,2000,51,100,100,42,227,108,19,9,0,0.03855689999181777,0.54772079999384,0.0006549999961862341,0.0004897000035271049,383584,"{""identity_codebook_sha256"": ""a2b72cc90a615bb72fe4356a58624874c5f8af8a9c2451aec3d8c7bd6964e387"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7051758154699331,0.7129629629629629,0.7129629629629629,0.027777777777777776,0.7407407407407407,0.7777777777777778,0.37037037037037035,0.9629629629629629
