candidate_index,feature_selection__k,regressor__n_estimators,regressor__max_depth,regressor__max_features,regressor__min_samples_leaf,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
52,all,500,,sqrt,2,0.30534779761904773,0.3287774330607664,0.40880763521457975,0.3476442886314646,0.04429411682656178,63
53,all,200,,0.3,1,0.13366666666666666,0.19564814814814813,0.3015277777777778,0.21028086419753086,0.06930572578606857,5
54,all,500,,0.3,1,0.13041666666666665,0.19120370370370374,0.3041481481481481,0.20858950617283947,0.071983130014652,1
55,all,200,,0.3,2,0.1359385416666666,0.19454987874779536,0.3082293370210036,0.2129059191451552,0.07152499658748511,8
56,all,500,,0.3,2,0.13059378968253973,0.1935061728395062,0.30379601905296344,0.20929866052500312,0.07158586948643633,3
57,all,200,12,sqrt,1,0.29799999999999993,0.3224537037037037,0.4058333333333334,0.34209567901234567,0.046161761520140066,57
58,all,500,12,sqrt,1,0.29711666666666664,0.3291296296296296,0.4015185185185185,0.3425882716049382,0.043671409032979155,59
59,all,200,12,sqrt,2,0.30488373015873016,0.32093470752498543,0.41264726631393306,0.3461552346658829,0.04747140313295285,61
60,all,500,12,sqrt,2,0.3053477976190477,0.3287774330607664,0.40880763521457975,0.3476442886314646,0.0442941168265618,63
61,all,200,12,0.3,1,0.13366666666666666,0.19564814814814813,0.3015277777777778,0.21028086419753086,0.06930572578606857,5
62,all,500,12,0.3,1,0.13041666666666665,0.19120370370370374,0.3041481481481481,0.20858950617283947,0.071983130014652,1
63,all,200,12,0.3,2,0.13593854166666658,0.19454987874779536,0.3082293370210036,0.21290591914515514,0.07152499658748512,7
64,all,500,12,0.3,2,0.13059378968253973,0.19350617283950614,0.30379601905296344,0.20929866052500312,0.07158586948643633,3
