outer_fold,dimension,seed,test_rows,warmups,timed_repetitions,clock,preprocessing_median_batch_ns,encoding_median_batch_ns,dual_heads_median_batch_ns,complete_inference_median_batch_ns,complete_inference_median_per_sample_ns,encoding_throughput_rows_per_second,identity_hv_bytes,level_hv_bytes,tie_vector_bytes,prototype_bytes,ridge_readout_bytes,preprocessing_state_bytes,total_model_component_bytes,model_artifact_file_bytes,inference_python_peak_allocated_bytes,repeated_outputs_discarded,repeated_output_digest,frozen_prediction_max_abs_difference
3,1000,44,84,5,30,time.perf_counter_ns,2211100,9643450,568600,12455950,148285.11904761905,8710.575572020387,50000,51000,1000,16000,8008,55216,181224,7242,4703200,True,3cffc6d347b36fde597b0603d3fd2c2d123b95a96facc67365864d4351bcf1fe,4.440892098500626e-16
3,1000,45,84,5,30,time.perf_counter_ns,2292050,9720550,510700,12604150,150049.40476190476,8641.486335649732,50000,51000,1000,16000,8008,55216,181224,7304,4703200,True,06bd94fba48a48eefd868b4516d37aa55bbe0f4dc3adab0678c4269678837e57,4.440892098500626e-16
3,1000,46,84,5,30,time.perf_counter_ns,2234600,9463000,567400,12340250,146907.7380952381,8876.677586389094,50000,51000,1000,16000,8008,55216,181224,6917,4703200,True,08c063c8950d46282a252c278c590068049f0fc96c44b10f785c52f8fde27e17,8.881784197001252e-16
3,2000,42,84,5,30,time.perf_counter_ns,2367850,18541500,1066350,22143000,263607.14285714284,4530.377801148775,100000,102000,2000,32000,16008,55216,307224,13274,4703200,True,41dbe56bdf54220f308d87f26cb70058ee0770e08bb1ff2b1434df33aa7c2766,4.440892098500626e-16
3,2000,43,84,5,30,time.perf_counter_ns,2179350,18617900,1075350,21831200,259895.2380952381,4511.7870436515395,100000,102000,2000,32000,16008,55216,307224,13178,4703200,True,f56d8418e25f97d87108a4288cbd8c36dcd1f821937ecc8070169d986c51ea38,4.440892098500626e-16
3,2000,44,84,5,30,time.perf_counter_ns,2448350,18533750,1088800,22178650,264031.54761904763,4532.272206110474,100000,102000,2000,32000,16008,55216,307224,13397,4703200,True,bdb543853493d724feb06236711d9de82ec1289d5daf64bd2fc742366af7558b,4.440892098500626e-16
3,2000,45,84,5,30,time.perf_counter_ns,2221450,19049750,1143000,22503050,267893.45238095237,4409.506686439455,100000,102000,2000,32000,16008,55216,307224,13455,4703200,True,91db690574b8280c50e6858fc99510b070ba845fba9014a70d36aaa720e05b2a,8.881784197001252e-16
3,2000,46,84,5,30,time.perf_counter_ns,2242300,18586850,1184500,21961500,261446.42857142858,4519.324145834286,100000,102000,2000,32000,16008,55216,307224,13472,4703200,True,a5c056e6d00b9ffa88044632cab1ae065ee5011ad047fcd061cee3519193b56f,4.440892098500626e-16
3,5000,42,84,5,30,time.perf_counter_ns,2197650,68370050,4000350,74473050,886583.9285714285,1228.6081405527711,250000,255000,5000,80000,40008,55216,685224,32053,5481744,True,18e3dd5306ff5a8f3db5d1676198cebccb926f46e6b8f1df0cebf8670776afca,4.440892098500626e-16
3,5000,43,84,5,30,time.perf_counter_ns,2272550,67614900,4112350,73724850,877676.7857142857,1242.3297231823162,250000,255000,5000,80000,40008,55216,685224,31459,5481744,True,a2425238edefdd9f404376c7c19ff698be099ebda3f87fc7a49586cfb5de8934,8.881784197001252e-16
3,5000,44,84,5,30,time.perf_counter_ns,2290950,68185850,4039650,74639250,888562.5,1231.927152041076,250000,255000,5000,80000,40008,55216,685224,31827,5481744,True,2137e646440dfb2088296ccd302944f85b9c60d9cb6bc71667fc4354e80636bb,4.440892098500626e-16
