variant,outer_fold,inner_fold,candidate_id,dimension,epochs,learning_rate,margin_threshold,levels,feature_k,seed,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3,training_seconds,inference_seconds,preprocessing_seconds_shared,encoding_seconds_shared,model_bytes,model_dtype,sample_hv_dtype,subject_overlap_count,training_info_json
onlinehd,3,1,candidate_013,5000,1,0.05,0.0,51,50,42,0.568351781569091,0.6373563218390805,0.6386554621848739,0.06722689075630252,1.0,0.06666666666666667,0.4827586206896552,1.0,0.017575500009115785,0.0019277000101283193,0.038037799997255206,0.2615360000054352,80000,float32,int8,0,"{""epochs"":1,""updates"":94}"
onlinehd,3,2,candidate_013,5000,1,0.05,0.0,51,50,42,0.575113869032652,0.6164529914529915,0.6203703703703703,0.037037037037037035,0.5769230769230769,1.0,0.037037037037037035,0.8518518518518519,0.01848890000837855,0.0017225999908987433,0.04032940001343377,0.26254990001325496,80000,float32,int8,0,"{""epochs"":1,""updates"":106}"
onlinehd,3,3,candidate_013,5000,1,0.05,0.0,51,50,42,0.5280631931735498,0.6018518518518519,0.6018518518518519,0.12962962962962962,0.9629629629629629,0.037037037037037035,0.4074074074074074,1.0,0.018554899987066165,0.0017513000057078898,0.03661300000385381,0.26205940000363626,80000,float32,int8,0,"{""epochs"":1,""updates"":104}"
onlinehd,3,1,candidate_014,5000,1,0.05,0.1,51,50,42,0.8972330644461792,0.8991379310344828,0.8991596638655462,0.008403361344537815,0.9333333333333333,0.7666666666666667,0.896551724137931,1.0,0.018772799987345934,0.001970000012079254,0.038037799997255206,0.2615360000054352,80000,float32,int8,0,"{""epochs"":1,""updates"":155}"
onlinehd,3,2,candidate_014,5000,1,0.05,0.1,51,50,42,0.6000493224433836,0.6933760683760684,0.6851851851851852,0.027777777777777776,0.8846153846153846,0.0,0.9629629629629629,0.9259259259259259,0.019350900023709983,0.0017432000022381544,0.04032940001343377,0.26254990001325496,80000,float32,int8,0,"{""epochs"":1,""updates"":154}"
onlinehd,3,3,candidate_014,5000,1,0.05,0.1,51,50,42,0.7683420670939971,0.7962962962962963,0.7962962962962963,0.018518518518518517,1.0,0.3333333333333333,0.8518518518518519,1.0,0.020138399995630607,0.0017456999921705574,0.03661300000385381,0.26205940000363626,80000,float32,int8,0,"{""epochs"":1,""updates"":148}"
onlinehd,3,1,candidate_015,5000,1,0.1,0.0,51,50,42,0.7469218693577846,0.7821839080459769,0.7815126050420168,0.01680672268907563,1.0,0.26666666666666666,0.8620689655172413,1.0,0.017538099986268207,0.0024295000184793025,0.038037799997255206,0.2615360000054352,80000,float32,int8,0,"{""epochs"":1,""updates"":101}"
onlinehd,3,2,candidate_015,5000,1,0.1,0.0,51,50,42,0.6581937799043062,0.710927960927961,0.7037037037037037,0.05555555555555555,0.9230769230769231,0.14285714285714285,0.8518518518518519,0.9259259259259259,0.018520999990869313,0.0022638000082224607,0.04032940001343377,0.26254990001325496,80000,float32,int8,0,"{""epochs"":1,""updates"":108}"
onlinehd,3,3,candidate_015,5000,1,0.1,0.0,51,50,42,0.7078167115902965,0.712962962962963,0.7129629629629629,0.07407407407407407,0.5555555555555556,0.5925925925925926,0.7037037037037037,1.0,0.018758099991828203,0.0024127000069711357,0.03661300000385381,0.26205940000363626,80000,float32,int8,0,"{""epochs"":1,""updates"":104}"
onlinehd,3,1,candidate_016,5000,1,0.1,0.1,51,50,42,0.7745297572580945,0.7830459770114943,0.7815126050420168,0.04201680672268908,0.5666666666666667,0.6,0.9655172413793104,1.0,0.019018599996343255,0.002426699997158721,0.038037799997255206,0.2615360000054352,80000,float32,int8,0,"{""epochs"":1,""updates"":158}"
onlinehd,3,2,candidate_016,5000,1,0.1,0.1,51,50,42,0.6681413492816481,0.7062983312983313,0.7037037037037037,0.07407407407407407,0.9230769230769231,0.6428571428571429,0.25925925925925924,1.0,0.019683499995153397,0.0021425999875646085,0.04032940001343377,0.26254990001325496,80000,float32,int8,0,"{""epochs"":1,""updates"":151}"
onlinehd,3,3,candidate_016,5000,1,0.1,0.1,51,50,42,0.5631705418485802,0.6481481481481481,0.6481481481481481,0.07407407407407407,0.9629629629629629,0.037037037037037035,0.5925925925925926,1.0,0.019428900006460026,0.0018551000102888793,0.03661300000385381,0.26205940000363626,80000,float32,int8,0,"{""epochs"":1,""updates"":157}"
onlinehd,3,1,candidate_017,5000,3,0.05,0.0,51,50,42,0.5901187071794165,0.6635057471264368,0.6638655462184874,0.07563025210084033,1.0,0.03333333333333333,0.6206896551724138,1.0,0.050722099986160174,0.0021087999921292067,0.038037799997255206,0.2615360000054352,80000,float32,int8,0,"{""epochs"":3,""updates"":299}"
onlinehd,3,2,candidate_017,5000,3,0.05,0.0,51,50,42,0.6675777407049572,0.6857956857956857,0.6851851851851852,0.14814814814814814,0.4230769230769231,0.35714285714285715,0.9629629629629629,1.0,0.05329759998130612,0.0019087000109720975,0.04032940001343377,0.26254990001325496,80000,float32,int8,0,"{""epochs"":3,""updates"":292}"
onlinehd,3,3,candidate_017,5000,3,0.05,0.0,51,50,42,0.7045952018554758,0.7222222222222222,0.7222222222222222,0.037037037037037035,0.7407407407407407,0.8888888888888888,0.2962962962962963,0.9629629629629629,0.05408249999163672,0.0021763999830000103,0.03661300000385381,0.26205940000363626,80000,float32,int8,0,"{""epochs"":3,""updates"":314}"
onlinehd,3,1,candidate_018,5000,3,0.05,0.1,51,50,42,0.6607071767839002,0.6942528735632184,0.6974789915966386,0.07563025210084033,1.0,0.4666666666666667,0.3103448275862069,1.0,0.05411420000018552,0.0020641000010073185,0.038037799997255206,0.2615360000054352,80000,float32,int8,0,"{""epochs"":3,""updates"":437}"
onlinehd,3,2,candidate_018,5000,3,0.05,0.1,51,50,42,0.7100357080854579,0.7100630850630851,0.7129629629629629,0.018518518518518517,0.6153846153846154,0.9285714285714286,0.37037037037037035,0.9259259259259259,0.05569079998531379,0.0019170000159647316,0.04032940001343377,0.26254990001325496,80000,float32,int8,0,"{""epochs"":3,""updates"":449}"
onlinehd,3,3,candidate_018,5000,3,0.05,0.1,51,50,42,0.6073108191860395,0.7037037037037037,0.7037037037037037,0.018518518518518517,1.0,0.0,0.8148148148148148,1.0,0.05602099999669008,0.0018683999951463193,0.03661300000385381,0.26205940000363626,80000,float32,int8,0,"{""epochs"":3,""updates"":464}"
onlinehd,3,1,candidate_019,5000,3,0.1,0.0,51,50,42,0.5312610009038581,0.5669540229885057,0.5714285714285714,0.10084033613445378,0.7,0.9,0.034482758620689655,0.6333333333333333,0.051111699984176084,0.0019290999916847795,0.038037799997255206,0.2615360000054352,80000,float32,int8,0,"{""epochs"":3,""updates"":300}"
onlinehd,3,2,candidate_019,5000,3,0.1,0.0,51,50,42,0.39564925911919413,0.5095899470899471,0.5185185185185185,0.018518518518518517,0.0,0.9642857142857143,0.07407407407407407,1.0,0.05367610001121648,0.0017265999922528863,0.04032940001343377,0.26254990001325496,80000,float32,int8,0,"{""epochs"":3,""updates"":295}"
onlinehd,3,3,candidate_019,5000,3,0.1,0.0,51,50,42,0.8019820386050485,0.8055555555555556,0.8055555555555556,0.037037037037037035,0.8888888888888888,0.6296296296296297,0.7037037037037037,1.0,0.05303830001503229,0.001745899993693456,0.03661300000385381,0.26205940000363626,80000,float32,int8,0,"{""epochs"":3,""updates"":300}"
onlinehd,3,1,candidate_020,5000,3,0.1,0.1,51,50,42,0.334981491274458,0.4416666666666667,0.4369747899159664,0.06722689075630252,0.7333333333333333,0.0,1.0,0.03333333333333333,0.054679199995007366,0.002028899994911626,0.038037799997255206,0.2615360000054352,80000,float32,int8,0,"{""epochs"":3,""updates"":444}"
onlinehd,3,2,candidate_020,5000,3,0.1,0.1,51,50,42,0.8337734352394162,0.8393111518111519,0.8425925925925926,0.037037037037037035,0.5384615384615384,0.8928571428571429,1.0,0.9259259259259259,0.05572129998472519,0.001713200006633997,0.04032940001343377,0.26254990001325496,80000,float32,int8,0,"{""epochs"":3,""updates"":456}"
onlinehd,3,3,candidate_020,5000,3,0.1,0.1,51,50,42,0.6089297101093833,0.7037037037037037,0.7037037037037037,0.037037037037037035,1.0,0.0,0.8148148148148148,1.0,0.0575426000286825,0.0017596000107005239,0.03661300000385381,0.26205940000363626,80000,float32,int8,0,"{""epochs"":3,""updates"":472}"
onlinehd,3,1,candidate_021,5000,5,0.05,0.0,51,50,42,0.5687669332179659,0.6295977011494253,0.6302521008403361,0.0,0.03333333333333333,0.9333333333333333,0.5517241379310345,1.0,0.08486699999775738,0.002025499998126179,0.038037799997255206,0.2615360000054352,80000,float32,int8,0,"{""epochs"":5,""updates"":478}"
onlinehd,3,2,candidate_021,5000,5,0.05,0.0,51,50,42,0.5290851482711948,0.5846815221815221,0.5925925925925926,0.018518518518518517,0.038461538461538464,0.8928571428571429,0.4444444444444444,0.9629629629629629,0.08769670000765473,0.0018928000063169748,0.04032940001343377,0.26254990001325496,80000,float32,int8,0,"{""epochs"":5,""updates"":502}"
onlinehd,3,3,candidate_021,5000,5,0.05,0.0,51,50,42,0.6298633798633799,0.6388888888888888,0.6388888888888888,0.018518518518518517,0.3333333333333333,0.9629629629629629,0.3333333333333333,0.9259259259259259,0.08802670001750812,0.0018330999882891774,0.03661300000385381,0.26205940000363626,80000,float32,int8,0,"{""epochs"":5,""updates"":525}"
onlinehd,3,1,candidate_022,5000,5,0.05,0.1,51,50,42,0.7391564207650273,0.7574712643678161,0.7563025210084033,0.025210084033613446,0.36666666666666664,0.7666666666666667,0.896551724137931,1.0,0.0888105999911204,0.002129400003468618,0.038037799997255206,0.2615360000054352,80000,float32,int8,0,"{""epochs"":5,""updates"":725}"
